name;etype;hv_bus ;lv_bus ;sn_mva ;vn_hv_kv ;vn_lv_kv ;vkr_percent ;vk_percent ;pfe_kw ;i0_percent ;shift_degree;in_service;index
TROITSKАYA GREHS - Troitskaya grehs;trafo;4799;4798;;630.00;220;11.62;0.224;0;0;0;FALSE;500057
RUBTSOVSKАYA - Rubtsovskaya;trafo;1621;1622;501;500;220;11;0.189;270;0.55;0;FALSE;500058
BАRNАUL-500 - Barnaul-220;trafo;1630;1640;501;500;220;11;0.188;270;0.55;0;TRUE;500059
BАRNАUL-500 - Barnaul-220;trafo;1630;1640;501;500;220;11;0.188;270;0.55;0;TRUE;500060
Mojnakskaya gehs-220 - Mojnakskaya gehs-15-2;trafo;935;941;200;220;15;10.5;0.275;140;0.5;0;TRUE;500061
Kounrad-220 - Kounrad-110;trafo;481;482;63;220;110;11;0.317;37;0.45;0;TRUE;500062
EHkibastuz-220 - EHkibastuzskaya tehts;trafo;38;44;1250;220;6;0.59;0;0;0;0;TRUE;500063
TАVRICHESKАYA - Tavricheskaya;trafo;1817;1816;501;500;220;11;0.189;270;0.55;0;FALSE;500064
TАVRICHESKАYA - Tavricheskaya;trafo;1817;1816;501;500;220;11;0.189;270;0.55;0;FALSE;500065
SHU - SHu;trafo;9932;932;501;500;220;9.5;0.031;105;0.4;0;FALSE;500066
IRTYSHSKАYA - Irtyshskaya;trafo;1850;1851;;500;220;;;;;0;TRUE;500067
FRUNZE - Bishkek;trafo;2919;2918;501;500;220;11;0.188;270;0.246;0;FALSE;500068
FRUNZE - Bishkek;trafo;2919;2918;501;500;220;11;0.188;270;0.246;0;FALSE;500069
TАSH.GREHS - Tashkent;trafo;2924;2925;501;500;220;11;0.189;270;0.55;0;FALSE;500070
IRIKLINSKАYA GREHS - Iriklinskaya grehs;trafo;4790;4791;800;500;220;11.5;0.176;375;0.25;0;TRUE;500071
btehts-110 - btehts-10;trafo;471;470;80;110;10;10.5;0.387;70;0.6;0;TRUE;500072
IRIKLINSKАYA GREHS - Iriklinskaya grehs;trafo;4790;4791;800;500;220;11.5;0.176;375;0.25;0;TRUE;500073
BАRАBINSKАYA - Barabinskaya-220 ;trafo;9917;1671;501;500;220;11.2;0.212;0;0;0;TRUE;500074
