Name;etype;bus;p_mw;q_mvar;in_service;index
Mirgalimsaj;load;842;20;13;False;200 144
Sary-oba (t);load;169;3;2;True;200 145
Erkenshilik (t);load;167;6;4;False;200 146
ZHolymbet;load;123;27;6;False;200 147
tsgpp;load;124;125;-80;False;200 148
SHortandy (t);load;125;11;1;True;200 149
Tankeris (t);load;179;19;4;False;200 150
El'taj (t);load;178;4;2;True;200 151
Burabaj (t);load;126;23;2;False;200 152
ZHaltyr (t);load;132;9;5;False;200 153
Tastak (t);load;162;1;1;True;200 154
Irchenko (t);load;163;1;1;True;200 155
Аtbasar;load;134;43;-28;False;200 156
kgpp;load;135;104;2;False;200 157
Krasnoarmejskaya;load;159;17;3;False;200 158
Kiyaly;load;136;4;2;False;200 159
BАRNАUL-500;load;1630;2500;200;False;200 160
ptehts-2-110;load;142;200;18;False;200 161
ptehts-2-220;load;144;4;2;False;200 162
Аktogaj-110;load;484;22;-13;False;200 163
Аvrora;load;148;0;11;False;200 164
TULEBERDYEVА;load;2915;80;30;True;200 165
Makinsk;load;150;22;2;False;200 166
Stepnaya;load;151;124;31;False;200 167
TOKTOGUL'SKАYA GEHS;load;2921;2230;55;False;200 168
YAnko (t);load;153;9;1;False;200 169
Sibir';load;160;13;2;True;200 170
Buran;load;173;10;1;False;200 171
Ugolki(t);load;156;8;1;False;200 172
Kujbyshevskaya;load;157;20;-8;False;200 173
Kokshetauskaya-1150;load;176;60;-8;False;200 174
Urozhajnaya;load;1673;150;60;True;200 175
Perekatnaya (t);load;172;3;2;False;200 176
ZHaksy (t);load;164;1;1;True;200 177
KURGАN;load;4727;500;200;False;200 178
SMELOVSKАYA;load;50014;350;80;False;200 179
EHkibastuzskaya tehts;load;44;41;5;True;200 180
arbz;load;4004;9;5;True;200 181
bgok;load;62;174;21;False;200 182
Koyan-Kos;load;953;7;1;False;200 183
SHymkentskaya TEHTS-3;load;813;220;42;False;200 184
Barnaul-220;load;1640;320;92;True;200 185
Ru-6;load;869;67;4;False;200 186
UZBEKISTON;load;2922;577;272;True;200 187
АLTАJ;load;1660;12500;5200;False;200 188
SYRDАR'INSKАYA TEHS;load;2923;6390;3066;True;200 189
Rubtsovskaya;load;1622;175;70;False;200 190
LOCHIN;load;2920;290;110;True;200 191
BАRАBINSKАYA;load;9917;135;-40;False;200 192
KURCHАTOVSKАYA;load;50002;200;100;False;200 193
sehs burnoe;load;810;1;1;False;200 194
YUZHNOURАL'SKАYA GREHS-2;load;47161;150;80;False;200 195
Kemin;load;2952;475;70;False;200 196
Voskhod;load;1854;213;56;False;200 197
VITYAZ';load;1852;1;1;False;200 198
KEMIN;load;2951;1200;500;False;200 199
Аkmolinskaya TEHTS;load;108;140;0;False;200 200
DАTKА;load;2950;200;100;True;200 201
Аkzhar;load;3004;9;5;True;200 202
Ermensaj;load;942;146;-25;False;200 203
TMK;load;242;79;30;False;200 204
PS-7;load;215;810;400;False;200 205
Novokuznetskaya;load;1638;100;50;True;200 206
Itatskaya;load;1636;100;50;True;200 207
YUrga;load;1632;100;50;True;200 208
Barabinskaya-220 ;load;1671;51;0;True;200 209
