index;name;etype;bus;p_mw;vm_pu;sn_mva;in_service;min_q_mvar;max_q_mvar
300098;пс-7;gen;913;483;1.19;None;False;65;380
300099;Западная;gen;918;0;1;None;False;0;0
300100;Чиганак;gen;925;0;1;None;False;0;0
300101;Сары-Озек;gen;950;0;1;None;False;0;0
300102;Талдыкорганская-220;gen;951;40;1;None;False;0;0
300103;Главная;gen;2916;270;1.15;None;False;-90;90
300104;Медео;gen;928;0;1;None;False;0;0
300105;Таугуль;gen;929;0;1;None;False;0;0
300106;Жидели;gen;931;0;1;None;True;0;0
300107;Шу;gen;932;0;1;None;False;0;0
300108;Аспара;gen;814;0;1;None;False;0;0
300109;Жамбыл;gen;801;0;1;None;False;0;0
300110;Бурное;gen;802;0;1;None;False;0;0
300111;Каратау;gen;803;0;1;None;False;0;0
300112;Опорная;gen;804;0;1;None;False;0;0
300113;жгрэс-220;gen;805;370;1.16;None;False;220;762
300114;жгрэс-16;gen;806;161;1;None;True;-39;139.55
300115;жгрэс-110;gen;807;209;1.15;None;True;-58;152
300116;Мерке;gen;809;0;1;None;False;0;0
300117;Жамбыл Тяга;gen;815;0;1;None;False;0;0
300118;Бурное Тяга;gen;816;0;1;None;True;0;0
300119;Абдезим;gen;817;0;1;None;True;0;0
300120;Шымкент-220;gen;831;0;1.16;None;False;-100;35
300121;Сас-тюбе;gen;834;0;1;None;False;0;0
300122;Ванновка;gen;835;0;1;None;False;0;0
300123;Бадам;gen;836;0;1;None;True;0;0
300124;Арысь;gen;837;0;1;None;True;0;0
300125;Монтайташ;gen;838;0;1;None;True;0;0
300126;Жылга;gen;839;0;1;None;False;0;0
300127;Кентау;gen;840;0;1;None;False;0;0
300128;Шолаккорган;gen;841;0;1;None;False;0;0
300129;Шымкентская;gen;843;0;1;None;False;0;0
300130;Тюлькубас;gen;844;0;1;None;True;0;0
300131;Кызылсай;gen;845;0;1;None;False;0;0
300132;Кызылординская тэц;gen;860;52;1;None;False;-31.6;67.3
300133;Кызылординская;gen;862;0;1;None;False;0;0
300134;Шиели;gen;863;0;1;None;False;0;0
300135;Жанакорган;gen;865;0;1;None;False;0;0
300136;Жалагаш;gen;866;0;1;None;True;0;0
300137;Жусалы;gen;867;0;1;None;True;0;0
300138;Бишкек;gen;2918;0;1;None;False;0;0
300139;ТАШ.ГРЭС;gen;2924;2864;1.12;None;False;-1000;1000
300140;гпп-2;gen;5957;0;1;None;False;0;0
300141;Ириклинская грэс;gen;4791;227;1.1;None;True;-400;300
300142;Таврическая;gen;1816;0;1;None;False;0;0
300143;Иртышская;gen;1851;0;1;None;True;0;0
300144;Миргалимсай;gen;842;0;1;None;False;0;0
300145;Сары-оба (т);gen;169;0;1;None;True;0;0
300146;Еркеншилик (т);gen;167;0;1;None;False;0;0
300147;Жолымбет;gen;123;0;1;None;False;0;0
300148;цгпп;gen;124;0;1;None;False;0;0
300149;Шортанды (т);gen;125;0;1;None;True;0;0
300150;Танкерис (т);gen;179;0;1;None;False;0;0
300151;Ельтай (т);gen;178;0;1;None;True;0;0
300152;Бурабай (т);gen;126;0;1;None;False;0;0
300153;Жалтыр (т);gen;132;0;1;None;False;0;0
300154;Тастак (т);gen;162;0;1;None;True;0;0
300155;Ирченко (т);gen;163;0;1;None;True;0;0
300156;Атбасар;gen;134;0;1;None;False;0;0
300157;кгпп;gen;135;0;1;None;False;0;0
300158;Красноармейская;gen;159;0;1;None;False;0;0
300159;Киялы;gen;136;0;1;None;False;0;0
300160;БАРНАУЛ-500;gen;1630;2523;1.11;None;False;-1000;1000
300161;птэц-2-110;gen;142;295;1.17;None;False;-134;346
300162;птэц-2-220;gen;144;172;1.12;None;False;-64;152
300163;Актогай-110;gen;484;0;1.15;None;False;-50;-2
300164;Аврора;gen;148;0;1;None;False;0;0
300165;ТУЛЕБЕРДЫЕВА;gen;2915;0;1;None;True;0;0
