index;name;etype;from_bus;to_bus;length_km;r_ohm_per_km;x_ohm_per_km;c_nf_per_km ;max_i_ka;parallel;type;in_service
400333;Балхашская-220 - Mоинты;line;473;475;1;16.4599990845;70.1399993896;1.4218907581;10;1;ol;FALSE
400334;ЭГРЭС-1-500 - НУРА-500;line;25;325;1;8.3000001907;78.3000030518;3.3422548808;10;1;ol;FALSE
400335;ШУ - ФРУНЗЕ;line;9932;2919;1;2.8199999332;28.8500003815;1.1522821732;10;1;ol;FALSE
400336;ШУ - АЛМАТЫ;line;9932;902;1;7.0999999046;72.4100036621;2.8998041321;10;1;ol;FALSE
400337;ШУ - ЮКГРЭС;line;9932;900;1;5.1999998093;63.5999984741;2.5082828154;10;1;ol;FALSE
400338;Ру-6 - Шиели;line;869;863;1;4.99;19.49;0.4106199;10;1;ol;FALSE
400339;Жанакорган - Ру-6;line;865;869;1;7.2100000381;28.3099994659;0.5914199903;10;1;ol;FALSE
400340;ИРТЫШСКАЯ - ТАВРИЧЕСКАЯ;line;1850;1817;1;3.42;35.28;1.3941978;10;1;ol;FALSE
400341;Иртышская - Урожайная;line;1851;1673;1;10.7;46.8;3.7528749;10;1;ol;TRUE
400342;ТУЛЕБЕРДЫЕВА - ТОКТОГУЛЬСКАЯ ГЭС;line;2915;2921;1;2.7;24.2;0.95493;10;1;ol;TRUE
400343;Главная - Карабалты;line;2916;2917;1;7.9;33.2;0.7862257;10;1;ol;TRUE
400344;Карабалты - Бишкек;line;2917;2918;1;6.4;27;0.286479;10;1;ol;TRUE
400345;Карабалты - Бишкек;line;2917;2918;1;6.4;27;0.286479;10;2;ol;TRUE
400346;ФРУНЗЕ - ТУЛЕБЕРДЫЕВА;line;2919;2915;1;4.4;40;1.6297472;10;1;ol;TRUE
400347;ЛОЧИН - УЗБЕКИСТОН;line;2920;2922;1;4.85;44.22;1.8016346;10;1;ol;TRUE
400348;УЗБЕКИСТОН - СЫРДАРЬИНСКАЯ ТЭС;line;2922;2923;1;6.2;88;4.424509;10;1;ol;TRUE
400349;УЗБЕКИСТОН - НОВО-АНГРЕНСКАЯ ТЭС;line;2922;2945;1;4.35;50.54;1.8939445;10;1;ol;TRUE
400350;ТАШ.ГРЭС - ТАШКЕНТ ;line;2924;2940;1;0.45;5.81;0.2069015;10;1;ol;TRUE
400351;Ташкент - Ташкентская грэс;line;2925;2926;1;0;3;0;10;1;ol;TRUE
400352;ТАШКЕНТ  - СЫРДАРЬИНСКАЯ ТЭС;line;2940;2923;1;4.03;49.2;1.8525642;10;1;ol;TRUE
400353;ТАШКЕНТ  - НОВО-АНГРЕНСКАЯ ТЭС;line;2940;2945;1;1.62;20;0.7480285;10;1;ol;TRUE
400354;ЮЖНАЯ    - РЕФТИНСКАЯ ГРЭС;line;4701;4702;1;2.23;25.5;1.050423;10;1;ol;FALSE
400355;ЮЖНАЯ    - КУРЧАТОВСКАЯ;line;4701;50002;1;2.64;39.1;1.59664296;10;1;ol;FALSE
400356;РЕФТИНСКАЯ ГРЭС - ИСЕТЬ;line;4702;50001;1;3.5;35.55;1.43112176;10;1;ol;FALSE
400357;РЕФТИНСКАЯ ГРЭС - ТЮМЕНЬ  ;line;4702;4730;1;8.32;73.14;3.0398605;10;1;ol;FALSE
400358;РЕФТИНСКАЯ ГРЭС - ТЮМЕНЬ  ;line;4702;4730;1;8.32;73.14;3.0398605;10;2;ol;FALSE
400359;КОЗЫРЕВО - КУРГАН;line;4703;4727;1;9.02;84.65;3.3931846;10;1;ol;FALSE
400360;ИСЕТЬ - КУРЧАТОВСКАЯ;line;50001;50002;1;29.82;29.14;1.183572073;10;1;ol;FALSE
400361;Усть-Камногорская-220 - ТМК;line;241;242;1;3.27;21.8;0.4965636;10;1;ol;FALSE
400362;Усть-Камногорская-220 - ТМК;line;241;242;1;3.27;21.8;0.4965636;10;2;ol;FALSE
400363;ПС-7 - Усть-Камногорская-220;line;215;241;1;4.3;6.8;0.39311285;10;1;ol;FALSE
400364;ПС-7 - Усть-Камногорская-220;line;215;241;1;4.3;6.8;0.39311285;10;2;ol;FALSE
400365;БАРНАУЛ-500 - Новокузнецкая;line;1630;1638;1;7.8;77;3.087607;10;1;ol;TRUE
400366;АЛТАЙ - Итатская;line;1660;1636;1;5;120;6.04789;10;1;ol;TRUE
400367;ЗАРЯ     - Юрга;line;1631;1632;1;2.56;31.7;1.5119725;10;1;ol;TRUE
400368;Шымкент-220 - Жылга;line;831;839;1;19.96;79.35;1.65457538;10;1;ol;FALSE
400369;Кызылсай - Жамбыл;line;845;801;1;17.66;71.61;1.42029922;10;1;ol;FALSE
400370;Шу - Чиганак;line;932;925;1;22.96;102.12;2.00503469;10;1;ol;FALSE
400371;отпайка - гпп-2;line;861;5957;1;27.9;108.86;2.21734746;10;1;ol;FALSE
400372;юкгрэс - Mоинты;line;901;475;1;26.49;115.13;2.34053343;10;1;ol;FALSE
400373;нс-19 - эгрэс-1;line;309;39;1;28.98;114.36;2.36217851;10;1;ol;FALSE
400374;грэс-2 - Айса;line;355;452;1;14.4;56.87;1.1713808;10;1;ol;FALSE
400375;Апановка - Есиль;line;573;170;1;21.65;83.62;2.960283;10;1;ol;FALSE
400376;Есиль - Перекатная (т);line;170;172;1;12.4;55.4;1.08830189;10;1;ol;FALSE
400377;Атбасар - Жалтыр (т);line;134;132;1;11.6;51.5;1.01031594;10;2;ol;FALSE
400378;цгпп - Жалтыр (т);line;130;132;1;11.4;51.1;1.00203988;10;2;ol;FALSE
400379;цгпп - Еркеншилик (т);line;130;167;1;9.5;42.7;0.83779192;10;1;ol;FALSE
400380;Танкерис (т) - Макинск;line;179;150;1;16.8;75.2;1.47759502;10;1;ol;FALSE
400381;жгрэс-220 - Мерке;line;805;809;1;16.63;62.03;1.39228794;10;1;ol;FALSE
400382;Главная - Кемин;line;2916;2952;1;11.64;50.13;1.02463989;10;1;ol;FALSE
400383;ФРУНЗЕ - ТОКТОГУЛЬСКАЯ ГЭС;line;2919;2921;1;7.1;64.2;2.5846772;10;1;ol;FALSE
400384;Главная - Бишкек;line;2916;2918;1;11.1;46.7;1.3591837;10;1;ol;FALSE
