index;name;etype;from_bus;to_bus;length_km;r_ohm_per_km;x_ohm_per_km;c_nf_per_km ;max_i_ka;parallel;type;in_service
400152;Абдезим - Мерке;line;817;809;1;4.75;17.7299995422;0.3978875189;10;1;ol;TRUE
400153;ШЫМКЕНТ-500 - ТАШ.ГРЭС;line;830;2924;1;3;32.5;1.4483105039;10;1;ol;FALSE
400154;Шымкент-220 - Шымкентская ТЭЦ-3;line;831;813;1;2.4100000858;9.4899997711;0.1941690963;10;1;ol;FALSE
400155;Шымкент-220 - Бадам;line;831;836;1;6.6900000572;26.4300003052;0.5551326056;10;1;ol;TRUE
400156;Шымкент-220 - Шымкентская;line;831;843;1;1.7200000286;10.75;0.2438254638;10;1;ol;FALSE
400157;Шымкент-220 - Кызылсай;line;831;845;1;4.7899999619;18.7999992371;0.3985240974;10;1;ol;FALSE
400158;Шымкент-220 - гнпс;line;831;846;1;5.2199997902;20.0599994659;0.4214424067;10;1;ol;FALSE
400159;Ванновка - Сас-тюбе;line;835;834;1;3.8980000019;15.0120000839;0.3135003339;10;1;ol;FALSE
400160;Бадам - Арысь;line;836;837;1;4.1700000763;16.9799995422;0.3460029644;10;1;ol;TRUE
400161;Арысь - Монтайташ;line;837;838;1;4.6199998856;18.2299995422;0.3816537011;10;1;ol;TRUE
400162;Монтайташ - Жылга;line;838;839;1;4.4800000191;17.7099990845;0.3717860854;10;1;ol;TRUE
400163;Жылга - Ташкент;line;839;2925;1;5.0199999809;31.8500003815;0.6776819623;10;1;ol;FALSE
400164;Кентау - Шолаккорган;line;840;841;1;9.2399997711;35.4379997253;0.7472995575;10;1;ol;FALSE
400165;Шолаккорган - Опорная;line;841;804;1;5.1999998093;20.2000007629;0.4243072185;10;1;ol;FALSE
400166;Миргалимсай - Кентау;line;842;840;1;2.1600000858;8.3999996185;0.1722057127;10;1;ol;FALSE
400167;Жанакорган - Миргалимсай;line;865;842;1;12.529999733;48.1399993896;1.0090426942;10;1;ol;FALSE
400168;Шымкентская - Жылга;line;843;839;1;6.5500001907;41.4000015259;0.8890398368;10;1;ol;FALSE
400169;Шымкентская - Миргалимсай;line;843;842;1;19.6989994049;79.3000030518;1.509553314;10;1;ol;FALSE
400170;Шымкентская - Ташкент;line;843;2925;1;8.5799999237;52.0400009155;1.1496720299;10;1;ol;FALSE
400171;Кызылсай - Тюлькубас;line;845;844;1;6.2300000191;25.2600002289;0.5003833319;10;1;ol;TRUE
400172;Бурное Тяга - Тюлькубас;line;816;844;1;6007;25.86;0.52871291;10;1;ol;TRUE
400173;Сас-тюбе - Шымкент-220;line;834;831;1;6.8759999275;26.4489994049;0.5538912242;10;1;ol;FALSE
400174;гнпс - Кентау;line;846;840;1;22.2800006866;85.5999984741;1.7978148587;10;1;ol;FALSE
400175;Кызылординская тэц - отпайка;line;860;861;1;0.1800000072;0.7900000215;0.0159154996;10;1;ol;2
400176;отпайка - Жалагаш;line;861;866;1;7.78;30.41;0.6165664865;10;1;ol;TRUE
400177;Кызылординская - Ру-6;line;862;869;1;14.45;56.43;1.18888785;10;1;ol;FALSE
400178;Ру-6 - Кентау;line;869;840;1;21.97;85.81;1.80768249;10;1;ol;FALSE
400179;Кызылординская - Кызылординская тэц;line;862;860;1;1.0499999523;4.0900001526;0.0830789115;10;1;ol;FALSE
400180;Кызылординская - отпайка;line;862;861;1;1.0399999619;4.0999999046;0.0830789115;10;1;ol;FALSE
400181;Шиели - Кызылординская;line;863;862;1;11.5500001907;45.11;1.10039767;10;1;ol;FALSE
400182;Жалагаш - Жусалы;line;866;867;1;7.1999998093;28;0.5681833686;10;1;ol;TRUE
400183;Жусалы - гпп-1;line;867;5958;1;9.8000001907;38.2799987793;0.7760398065;10;1;ol;TRUE
400184;Коунрад-110 - бтэц-110;line;482;471;1;1.3999999762;5.5;0.1371916124;10;1;ol;TRUE
400185;Батыс - Достык;line;102;103;1;2352;11466;0.2685836118;10;1;ol;FALSE
400186;Батыс - Достык;line;102;103;1;2.35;11.47;0.26865364;10;2;ol;FALSE
400187;Достык - Шыгыс;line;103;104;1;2.92;16.8;0.343838462;10;1;ol;FALSE
400188;Достык - Шыгыс;line;103;104;1;2.92;16.8;0.3437748;10;2;ol;FALSE
400189;цгпп - Акмолинская ТЭЦ;line;130;108;1;0.15;0.79;0.01655212;10;1;ol;FALSE
400190;Шыгыс - Шоптыколь (т);line;104;101;1;3.19;6.95;0.14037471;10;1;ol;FALSE
400191;Шыгыс - Шоптыколь (т);line;104;101;1;3.09;6.52;0.13178034;10;2;ol;FALSE
400192;Чернозубовка - Куйбышевская;line;186;157;1;8.52;30.62;0.582634624;10;1;ol;FALSE
400193;ЦГПП  - ЕСИЛЬ;line;129;180;1;11.12;113.36;4.5486499;10;1;ol;FALSE
400194;ЮЖНОУРАЛЬСКАЯ ГРЭС-2 - ТРОИЦКАЯ ГРЭС;line;47161;4799;1;1.29;18.64;0.96479761;10;1;ol;FALSE
400195;Есиль - оп-80 (т);line;170;165;1;4.0999999046;18.2999992371;0.3593719935;10;1;ol;TRUE
400196;оп-80 (т) - Жаксы (т);line;165;164;1;2.7999999523;12.5;0.2457353152;10;1;ol;TRUE
400197;кгпп - Кокшетауская-1150;line;135;176;1;3.5999999046;18.7999992371;0.4093466735;10;1;ol;TRUE
400198;цгпп - Батыс;line;130;102;1;3.48;19.46;0.39884243;10;1;ol;FALSE
400199;цгпп - Батыс;line;130;102;1;3.48;19.46;0.39884243;10;2;ol;FALSE
400200;Степная - Жолымбет;line;151;123;1;8;31.6000003815;0.7002820055;10;1;ol;FALSE
400201;Атбасар - Жалтыр (т);line;134;132;1;11.5;51.5;1.0103159439;10;1;ol;FALSE
400202;цгпп - Жалтыр (т);line;130;132;1;11.3999996185;51.0999984741;1.0020399135;10;1;ol;FALSE
400203;цгпп - Сары-оба (т);line;130;169;1;4.9000000954;22.2000007629;0.4360846855;10;1;ol;TRUE
400204;Атбасар - Перекатная (т);line;134;172;1;2.9000000954;13.1000003815;0.2568761805;10;1;ol;FALSE
400205;Жолымбет - цгпп;line;123;130;1;7.8000001907;32;0.6366199839;10;1;ol;FALSE
400206;птэц-2-220 - Смирново;line;144;143;1;5.09;22.27;0.436148362;10;1;ol;FALSE
400207;птэц-2-220 - Смирново;line;144;143;1;5.02;21.96;0.43035512;10;2;ol;FALSE
400208;Аврора - Макушино;line;148;4781;1;17.7000007629;79.0999984741;1.55335277;10;1;ol;TRUE
400209;Нура-220 - ипм;line;310;318;1;3.4;13;0.2801128;10;1;ol;TRUE
400210;АВРОРА - ТАВРИЧЕСКАЯ;line;147;1817;1;11.47;87.78;3.437748;10;1;ol;FALSE
400211;Киялы - Аврора;line;136;148;1;3.4000000954;15.3000001907;0.2995297211;10;1;ol;FALSE
400212;Макинск - Бурабай (т);line;150;126;1;4.4;16.5;0.3565072;10;1;ol;FALSE
400213;Бурабай (т) - Кокшетауская-1150;line;126;176;1;12.3999996185;51.5;1.0918033;10;1;ol;FALSE
400214;цгпп - Танкерис (т);line;130;179;1;3.4000000954;15.1000003815;0.29539168;10;1;ol;FALSE
400215;Шортанды (т) - Танкерис (т);line;125;179;1;3.7000000477;16.3999996185;0.32244803;10;1;ol;TRUE
400216;Аврора - Сибирь;line;148;161;1;10.3000001907;36.9000015259;0.6366199839;10;1;ol;TRUE
400217;Куйбышевская - Янко (т);line;157;153;1;7.5;29.1000003815;0.5920566152;10;1;ol;FALSE
400218;Янко (т) - Буран;line;153;173;1;4.3000001907;16.5;0.3342254973;10;1;ol;FALSE
400219;Буран - Уголки(т);line;173;156;1;3.2000000477;12.5;0.2546479936;10;1;ol;FALSE
400220;Кокшетауская-1150 - Уголки(т);line;176;156;1;3.5999999046;13.5;0.2896621054;10;1;ol;FALSE
400221;Сибирь - птэц-2-110;line;160;142;1;19.7999992371;47.2000007629;1.0472399071;10;1;ol;TRUE
400222;Ирченко (т) - Жалтыр (т);line;163;132;1;5.5;24.3999996185;0.4781016012;10;1;ol;TRUE
400223;Жаксы (т) - Перекатная (т);line;164;172;1;5.5;24.6000003815;0.4831946;10;1;ol;TRUE
400224;цгпп - Тастак (т);line;130;162;1;5.3000001907;23.6000003815;0.4631410562;10;1;ol;TRUE
400225;Тастак (т) - Жалтыр (т);line;162;132;1;6.0999999046;27.5;0.5388988109;10;1;ol;TRUE
400226;Красноармейская - Киялы;line;159;136;1;4.3000001907;19.2999992371;0.3797438265;10;1;ol;FALSE
400227;Шортанды (т) - Ельтай (т);line;125;178;1;8.1999998093;36.5999984741;0.7190622995;10;1;ol;TRUE
400228;Ельтай (т) - Макинск;line;178;150;1;4.9000000954;22.2000007629;0.4360846855;10;1;ol;TRUE
400229;Еркеншилик (т) - Сары-оба (т);line;167;169;1;4.5999999046;20.5;0.4017072217;10;1;ol;TRUE
400230;АВРОРА - КОКЧЕТАВСКАЯ;line;147;175;1;5;49.9000015259;1.9512403352;10;1;ol;FALSE
400231;АВРОРА - КУРГАН;line;147;4727;1;9.37;84.1;3.1958324;10;1;ol;FALSE
400232;Акмолинская ТЭЦ - Шыгыс;line;108;104;1;3.51;19.37;0.40648187;10;1;ol;FALSE
400233;Жамбыл - жгрэс-220;line;801;805;1;4.0700001717;15.8299999237;0.3243578817;10;2;ol;FALSE
400234;Акмолинская ТЭЦ - Шыгыс;line;108;104;1;3.42;18.87;0.39629595;10;2;ol;FALSE
400235;Мынарал - Сарышаган;line;924;477;1;9.0900001526;40.6300010681;0.7973665073;10;1;ol;TRUE
400236;Жамбыл - Каратау;line;801;803;1;8.1499996185;32.3100013733;0.6366199839;10;2;ol;FALSE
400237;ЗЛАТОУСТ - ПРИВАЛОВСКАЯ;line;4715;50032;1;1;12.6;0.5506763;10;1;ol;FALSE
400238;КУРГАН - ВИТЯЗЬ;line;4727;1852;1;9.4;87.42;3.54692833;10;1;ol;FALSE
400239;Талдыкорган-220 - Сары-Озек;line;988;950;1;4.25;18.62;0.36478326;10;2;ol;FALSE
400240;Коунрад-110 - бтэц-110;line;482;471;1;1.4;5.5;0.13719161;10;2;ol;TRUE
