index;name;etype;hv_bus ;lv_bus ;sn_mva ;vn_hv_kv ;vn_lv_kv ;vkr_percent ;vk_percent ;pfe_kw ;i0_percent ;shift_degree;parallel ;in_service
500055;птэц-2-220 - птэц-2-110;trafo;144;142;125;220;110;0.252;11;65;0.4;0;1;FALSE
500056;птэц-2-220 - птэц-2-110;trafo;144;142;125;220;110;0.252;11;65;0.4;0;1;FALSE
500057;ТРОИЦКАЯ ГРЭС - Троицкая грэс;trafo;4799;4798;630;500;220;0.224;11.62;0;0;0;1;FALSE
500058;РУБЦОВСКАЯ - Рубцовская;trafo;1621;1622;501;500;220;0.189;11;270;0.55;0;1;FALSE
500059;БАРНАУЛ-500 - Барнаул-220;trafo;1630;1640;501;500;220;0.188;11;270;0.55;0;1;TRUE
500060;БАРНАУЛ-500 - Барнаул-220;trafo;1630;1640;501;500;220;0.188;11;270;0.55;0;1;TRUE
500061;Мойнакская гэс-220 - Мойнакская гэс-15-2;trafo;935;941;200;220;15;0.275;10.5;140;0.5;0;1;TRUE
500062;Коунрад-220 - Коунрад-110;trafo;481;482;63;220;110;0.317;11;37;0.45;0;1;TRUE
500063;Экибастуз-220 - Экибастузская тэц;trafo;38;44;1250;220;6;0;0.59;0;0;0;1;TRUE
500064;ТАВРИЧЕСКАЯ - Таврическая;trafo;1817;1816;501;500;220;0.189;11;270;0.55;0;1;FALSE
500065;ТАВРИЧЕСКАЯ - Таврическая;trafo;1817;1816;501;500;220;0.189;11;270;0.55;0;1;FALSE
500066;ШУ - Шу;trafo;9932;932;501;500;220;0.031;9.5;105;0.4;0;1;FALSE
500067;ИРТЫШСКАЯ - Иртышская;trafo;1850;1851;501;500;220;0.189;11;270;0.55;0;1;TRUE
500068;ФРУНЗЕ - Бишкек;trafo;2919;2918;501;500;220;0.188;11;270;0.246;0;1;FALSE
500069;ФРУНЗЕ - Бишкек;trafo;2919;2918;501;500;220;0.188;11;270;0.246;0;1;FALSE
500070;ТАШ.ГРЭС - Ташкент;trafo;2924;2925;501;500;220;0.189;11;270;0.55;0;1;FALSE
500071;ИРИКЛИНСКАЯ ГРЭС - Ириклинская грэс;trafo;4790;4791;800;500;220;0.176;11.5;375;0.25;0;1;TRUE
500072;бтэц-110 - бтэц-10;trafo;471;470;80;110;10;0.387;10.5;70;0.6;0;1;TRUE
500073;ИРИКЛИНСКАЯ ГРЭС - Ириклинская грэс;trafo;4790;4791;800;500;220;0.176;11.5;375;0.25;0;1;TRUE
500074;БАРАБИНСКАЯ - Барабинская-220;trafo;9917;1671;501;500;220;0.212;11.2;0;0;0;1;TRUE
