name;index;v_kv;degU;countG;Pg;Qg;Pl;Ql
ПС 220 кВ Жидели (т) - СШ 220 кВ;931;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Мынарал (т) - СШ 220 кВ ;924;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Кара-Мурын (т) - СШ 220 кВ;450;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ НС-7 - СШ 220 кВ;37 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Сары-Оба (т) - СШ 220 кВ;169;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Ельтай (т) - СШ 220 кВ;178;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ ОП-80 (т) - СШ 220 кВ ;165;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Челгаши (т) - СШ 220 кВ ;585;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
СЭС Жалагаш - СШ 220 кВ ;866;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Томская - СШ 500 кВ ;1651 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Актогай - СШ 220 кВ ;223;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
